FILE=\sensor1_sn3775_2019_10_17_17_31_11.csv
Thu Oct 17 17:31:05 2019

TimeStamp,Sample,Event,Motion,txl1,txl2,txl3,txl4,txl5,txl6,txl7,txl8,txl9,txl10,txl11,txl12,txl13,txl14,txl15,txl16,txl17,txl18,txl19,txl20,txl21,txl22,txl23,txl24,
17.31.15.648,39,0,0,1830,2046,1557,338,2046,2046,2046,323,1982,2046,2046,215,664,2046,2046,2046,536,2046,2046,466,285,2046,1949,320,
17.31.15.748,40,0,0,1828,2046,1557,336,2046,2046,2046,323,1981,2046,2046,216,665,2046,2046,2046,537,2046,2046,467,287,2046,1950,321,
17.31.15.848,41,0,0,1828,2046,1558,336,2046,2046,2046,322,1985,2046,2046,216,665,2046,2046,2046,537,2046,2046,468,288,2046,1949,321,
17.31.15.948,42,0,0,1828,2046,1555,336,2046,2046,2046,322,1987,2046,2046,215,666,2046,2046,2046,537,2046,2046,467,288,2046,1949,321,
17.31.16.049,43,0,0,1828,2046,1558,336,2046,2046,2046,323,1988,2046,2046,216,667,2046,2046,2046,537,2046,2046,468,287,2046,1950,320,
17.31.16.149,44,0,0,1828,2046,1561,336,2046,2046,2046,323,1984,2046,2046,216,667,2046,2046,2046,538,2046,2046,470,289,2046,1949,320,
17.31.16.249,45,0,0,1828,2046,1561,336,2046,2046,2046,323,1984,2046,2046,214,667,2046,2046,2046,539,2046,2046,470,288,2046,1949,321,
17.31.16.348,46,0,0,1828,2046,1560,336,2046,2046,2046,321,1984,2046,2046,216,668,2046,2046,2046,539,2046,2046,470,288,2046,1948,319,
17.31.16.448,47,0,0,1828,2046,1564,335,2046,2046,2046,323,1989,2046,2046,217,668,2046,2046,2046,539,2046,2046,469,288,2046,1948,318,
17.31.16.548,48,0,0,1829,2046,1564,336,2046,2046,2046,323,1990,2046,2046,217,668,2046,2046,2046,538,2046,2046,470,289,2046,1950,319,
17.31.16.648,49,0,0,1829,2046,1566,336,2046,2046,2046,322,1991,2046,2046,216,667,2046,2046,2046,540,2046,2046,470,289,2046,1950,320,
17.31.16.748,50,0,0,1829,2046,1560,334,2046,2046,2046,322,1993,2046,2046,216,668,2046,2046,2046,540,2046,2046,469,290,2046,1948,320,
17.31.16.847,51,0,0,1828,2046,1560,335,2046,2046,2046,322,1995,2046,2046,217,669,2046,2046,2046,540,2046,2046,469,289,2046,1948,319,
17.31.16.947,52,0,0,1829,2046,1565,336,2046,2046,2046,323,1996,2046,2046,217,668,2046,2046,2046,539,2046,2046,469,287,2046,1948,320,
17.31.17.048,53,0,0,1830,2046,1564,336,2046,2046,2046,322,1996,2046,2046,218,668,2046,2046,2046,539,2046,2046,468,287,2046,1948,320,
17.31.17.149,54,0,0,1830,2046,1565,336,2046,2046,2046,322,2001,2046,2046,217,669,2046,2046,2046,540,2046,2046,468,287,2046,1947,320,
17.31.17.248,55,0,0,1830,2046,1568,337,2046,2046,2046,323,2002,2046,2046,217,669,2046,2046,2046,540,2046,2046,468,287,2046,1947,320,
17.31.17.348,56,0,0,1832,2046,1572,338,2046,2046,2046,323,2005,2046,2046,216,669,2046,2046,2046,539,2046,2046,468,287,2046,1948,319,
17.31.17.448,57,0,0,1831,2046,1568,337,2046,2046,2046,322,1996,2046,2046,216,669,2046,2046,2046,539,2046,2046,469,288,2046,1949,320,
17.31.17.548,58,0,0,1831,2046,1568,336,2046,2046,2046,323,1995,2046,2046,216,667,2046,2046,2046,540,2046,2046,470,288,2046,1950,320,
17.31.17.648,59,0,0,1831,2046,1571,336,2046,2046,2046,323,1995,2046,2046,217,669,2046,2046,2046,539,2046,2046,469,287,2046,1950,319,
17.31.17.747,60,0,0,1829,2046,1567,336,2046,2046,2046,324,1996,2046,2046,216,669,2046,2046,2046,540,2046,2046,469,287,2046,1948,320,
17.31.17.847,61,0,0,1831,2046,1567,338,2046,2046,2046,323,2001,2046,2046,216,669,2046,2046,2046,540,2046,2046,468,287,2046,1948,318,
17.31.17.947,62,0,0,1832,2046,1566,337,2046,2046,2046,323,2001,2046,2046,216,669,2046,2046,2046,540,2046,2046,468,287,2046,1950,320,
17.31.18.047,63,0,0,1832,2046,1567,337,2046,2046,2046,324,1999,2046,2046,216,667,2046,2046,2046,539,2046,2046,468,287,2046,1950,320,
17.31.18.147,64,0,0,1831,2046,1564,337,2046,2046,2046,322,1997,2046,2046,214,667,2046,2046,2046,538,2046,2046,468,287,2046,1948,320,
17.31.18.247,65,0,0,1830,2046,1566,336,2046,2046,2046,323,1997,2046,2046,216,666,2046,2046,2046,537,2046,2046,468,289,2046,1949,321,
