FILE=\sensor1_sn3775_2019_10_17_17_31_42.csv
Thu Oct 17 17:31:36 2019

TimeStamp,Sample,Event,Motion,txl1,txl2,txl3,txl4,txl5,txl6,txl7,txl8,txl9,txl10,txl11,txl12,txl13,txl14,txl15,txl16,txl17,txl18,txl19,txl20,txl21,txl22,txl23,txl24,
17.31.42.355,1,0,0,1744,2046,2046,349,2046,2046,2046,337,618,2046,2046,218,604,2046,2046,2046,443,2046,2046,655,276,2046,1950,344,
17.31.42.455,2,0,0,1745,2046,2046,350,2046,2046,2046,337,618,2046,2046,218,605,2046,2046,2046,444,2046,2046,658,276,2046,1950,343,
17.31.42.555,3,0,0,1746,2046,2046,350,2046,2046,2046,339,617,2046,2046,219,604,2046,2046,2046,443,2046,2046,659,276,2046,1948,343,
17.31.42.654,4,0,0,1746,2046,2046,351,2046,2046,2046,338,615,2046,2046,219,605,2046,2046,2046,442,2046,2046,661,275,2046,1949,344,
17.31.42.754,5,0,0,1747,2046,2046,350,2046,2046,2046,338,616,2046,2046,218,605,2046,2046,2046,441,2046,2046,659,275,2046,1949,343,
17.31.42.854,6,0,0,1748,2046,2046,351,2046,2046,2046,338,618,2046,2046,218,604,2046,2046,2046,443,2046,2046,659,275,2046,1948,344,
17.31.42.954,7,0,0,1748,2046,2046,350,2046,2046,2046,337,618,2046,2046,218,605,2046,2046,2046,442,2046,2046,658,276,2046,1950,344,
17.31.43.054,8,0,0,1749,2046,2046,350,2046,2046,2046,338,620,2046,2046,218,605,2046,2046,2046,444,2046,2046,658,276,2046,1950,345,
17.31.43.155,9,0,0,1748,2046,2046,350,2046,2046,2046,337,620,2046,2046,218,606,2046,2046,2046,444,2046,2046,658,277,2046,1950,345,
17.31.43.256,10,0,0,1748,2046,2046,349,2046,2046,2046,337,618,2046,2046,218,607,2046,2046,2046,444,2046,2046,660,277,2046,1950,345,
17.31.43.355,11,0,0,1748,2046,2046,349,2046,2046,2046,337,618,2046,2046,218,606,2046,2046,2046,445,2046,2046,661,276,2046,1949,345,
17.31.43.455,12,0,0,1750,2046,2046,350,2046,2046,2046,336,620,2046,2046,217,606,2046,2046,2046,445,2046,2046,662,276,2046,1948,343,
17.31.43.554,13,0,0,1749,2046,2046,350,2046,2046,2046,336,620,2046,2046,219,607,2046,2046,2046,444,2046,2046,660,276,2046,1948,343,
17.31.43.654,14,0,0,1749,2046,2046,350,2046,2046,2046,337,618,2046,2046,220,605,2046,2046,2046,444,2046,2046,663,276,2046,1950,345,
17.31.43.754,15,0,0,1749,2046,2046,350,2046,2046,2046,337,617,2046,2046,218,606,2046,2046,2046,445,2046,2046,663,277,2046,1952,343,
17.31.43.854,16,0,0,1750,2046,2046,349,2046,2046,2046,336,616,2046,2046,218,606,2046,2046,2046,445,2046,2046,662,277,2046,1950,345,
17.31.43.954,17,0,0,1749,2046,2046,349,2046,2046,2046,336,616,2046,2046,220,607,2046,2046,2046,445,2046,2046,663,277,2046,1950,344,
17.31.44.053,18,0,0,1749,2046,2046,350,2046,2046,2046,337,618,2046,2046,219,605,2046,2046,2046,444,2046,2046,664,276,2046,1949,343,
17.31.44.154,19,0,0,1749,2046,2046,350,2046,2046,2046,337,615,2046,2046,219,605,2046,2046,2046,444,2046,2046,662,276,2046,1950,344,
17.31.44.255,20,0,0,1749,2046,2046,350,2046,2046,2046,339,618,2046,2046,220,605,2046,2046,2046,444,2046,2046,663,275,2046,1948,344,
17.31.44.355,21,0,0,1750,2046,2046,349,2046,2046,2046,339,615,2046,2046,220,605,2046,2046,2046,444,2046,2046,663,275,2046,1948,344,
17.31.44.454,22,0,0,1750,2046,2046,352,2046,2046,2046,339,614,2046,2046,218,606,2046,2046,2046,443,2046,2046,666,275,2046,1949,344,
17.31.44.554,23,0,0,1751,2046,2046,350,2046,2046,2046,339,612,2046,2046,218,605,2046,2046,2046,442,2046,2046,669,276,2046,1950,345,
17.31.44.654,24,0,0,1752,2046,2046,350,2046,2046,2046,338,615,2046,2046,218,605,2046,2046,2046,444,2046,2046,667,275,2046,1950,345,
17.31.44.754,25,0,0,1751,2046,2046,350,2046,2046,2046,338,612,2046,2046,219,605,2046,2046,2046,444,2046,2046,669,276,2046,1950,345,
17.31.44.854,26,0,0,1751,2046,2046,350,2046,2046,2046,339,612,2046,2046,220,606,2046,2046,2046,444,2046,2046,671,275,2046,1950,344,
17.31.44.954,27,0,0,1751,2046,2046,350,2046,2046,2046,337,612,2046,2046,219,606,2046,2046,2046,443,2046,2046,672,275,2046,1949,345,
17.31.45.053,28,0,0,1750,2046,2046,351,2046,2046,2046,339,612,2046,2046,219,606,2046,2046,2046,443,2046,2046,671,275,2046,1948,343,
17.31.45.153,29,0,0,1753,2046,2046,351,2046,2046,2046,339,612,2046,2046,218,606,2046,2046,2046,443,2046,2046,673,275,2046,1949,344,
17.31.45.253,30,0,0,1754,2046,2046,351,2046,2046,2046,338,612,2046,2046,218,605,2046,2046,2046,443,2046,2046,672,275,2046,1950,345,
17.31.45.353,31,0,0,1754,2046,2046,352,2046,2046,2046,338,611,2046,2046,218,605,2046,2046,2046,443,2046,2046,674,275,2046,1950,346,
17.31.45.453,32,0,0,1753,2046,2046,350,2046,2046,2046,338,612,2046,2046,218,605,2046,2046,2046,442,2046,2046,674,276,2046,1950,346,
17.31.45.554,33,0,0,1753,2046,2046,350,2046,2046,2046,338,612,2046,2046,220,605,2046,2046,2046,444,2046,2046,676,276,2046,1949,346,
17.31.45.655,34,0,0,1753,2046,2046,350,2046,2046,2046,338,611,2046,2046,220,605,2046,2046,2046,443,2046,2046,674,277,2046,1951,345,
